fecha,anio,mes,occ_pct,occ_pct_airroi,occ_p25,occ_p50,occ_p75,occ_p90,adr_usd_airdna,adr_usd_airroi,adr_usd,adr_ars,adr_p25,adr_p50,adr_p75,adr_p90,revenue_usd_airdna,revenue_usd_airroi,revenue_usd,revenue_ars,rev_p25,rev_p50,rev_p75,rev_p90,los_dias,listings,tcn_usd,fuente
2026-03-01,2026,3,5.13,15.0,3.0,19.0,26.0,26.0,27.21,,27.21,97109.6,52900.0,61402.0,88561.0,263084.0,454.0769230769231,,454.0769230769231,461695.8,88561.0,157047.0,422729.0,1578740.0,5.48,20.0,,AirDNA+AirROI
2026-02-01,2026,2,36.26,25.0,7.000000000000001,21.0,36.0,86.0,22.79,52.0,22.79,74178.4,35424.0,42509.0,53136.0,249741.0,399.4444444444445,334.0,399.4444444444445,476337.9,106273.0,334169.0,863170.0,1498445.0,5.51,20.0,1427.14,AirDNA+AirROI
2026-01-01,2026,1,28.87,18.0,7.000000000000001,19.0,26.0,39.0,26.0,50.0,26.0,73033.0,35660.0,57860.0,72856.0,247143.0,519.3076923076923,366.0,519.3076923076923,539629.0,199556.0,436899.0,1106417.0,1483094.0,10.04,34.0,1472.74,AirDNA+AirROI
2025-12-01,2025,12,30.11,9.0,3.0,7.000000000000001,19.0,23.0,16.21,50.0,16.21,74051.3,44280.0,53136.0,88561.0,256471.0,167.7575757575758,191.0,167.7575757575758,280294.1,53136.0,88561.0,355423.0,1538592.0,2.32,35.0,1471.13,AirDNA+AirROI
2025-11-01,2025,11,19.51,21.0,13.0,17.0,50.0,50.0,18.27,34.0,18.27,49092.3,52074.0,54317.0,55498.0,55498.0,253.1538461538462,211.0,253.1538461538462,306419.8,172398.0,217269.0,780514.0,780514.0,3.56,24.0,1453.67,AirDNA+AirROI
2025-10-01,2025,10,29.94,28.000000000000004,7.000000000000001,13.0,65.0,65.0,12.67,37.0,12.67,54120.3,33653.0,62347.0,66361.0,66361.0,657.0454545454545,375.0,657.0454545454545,548288.3,67306.0,249150.0,1328409.0,1328409.0,4.8,30.0,1463.39,AirDNA+AirROI
2025-09-01,2025,9,24.75,28.999999999999996,10.0,20.0,30.0,83.0,21.6,64.0,21.6,91158.4,51956.0,69668.0,91158.0,224826.0,459.2608695652174,556.0,459.2608695652174,790354.0,209003.0,735643.0,935200.0,2278959.0,4.91,30.0,1420.5,AirDNA+AirROI
2025-08-01,2025,8,9.95,22.0,10.0,23.0,23.0,52.0,44.5,69.0,44.5,92240.7,50775.0,70848.0,84310.0,243246.0,410.84,405.0,410.84,542581.2,297564.0,382582.0,729739.0,1348482.0,2.29,37.0,1340.65,AirDNA+AirROI
2025-07-01,2025,7,25.77,33.0,19.0,32.0,42.0,81.0,20.17,86.0,20.17,110523.5,60930.0,67778.0,172988.0,247143.0,697.7647058823529,865.0,697.7647058823529,1110195.3,406198.0,691953.0,2206929.0,2506855.0,2.98,34.0,1284.03,AirDNA+AirROI
2025-06-01,2025,6,12.5,12.0,3.0,7.000000000000001,13.0,17.0,9.0,94.0,9.0,112917.4,55498.0,80531.0,207232.0,229903.0,473.6842105263158,294.0,473.6842105263158,351558.6,55498.0,161771.0,689592.0,828927.0,9.78,23.0,1196.33,AirDNA+AirROI
2025-05-01,2025,5,10.32,11.0,3.0,10.0,10.0,36.0,25.34,117.0,25.34,137029.4,59980.0,162298.0,208165.0,228511.0,469.88,312.0,469.88,364246.7,189348.0,375167.0,544522.0,685651.0,4.02,32.0,1166.61,AirDNA+AirROI
2025-04-01,2025,4,12.5,21.0,10.0,13.0,20.0,50.0,24.56,67.0,24.56,76021.6,40553.0,59221.0,83682.0,168758.0,375.875,297.0,375.875,338588.6,251045.0,355110.0,418408.0,506381.0,2.3,49.0,1140.9,AirDNA+AirROI
2025-03-01,2025,3,32.0,15.0,13.0,13.0,16.0,19.0,20.02,126.0,20.02,137253.7,40407.0,89001.0,203310.0,268173.0,456.2954545454546,500.0,456.2954545454546,544351.6,245630.0,316874.0,813451.0,1608826.0,4.92,44.0,1088.38,AirDNA+AirROI
2025-02-01,2025,2,19.05,17.0,14.000000000000002,18.0,18.0,18.0,23.54,290.0,23.54,313045.3,57262.0,65051.0,816823.0,816823.0,394.9,1432.0,394.9,1543472.7,259994.0,286309.0,4084115.0,4084115.0,3.18,16.0,1077.76,AirDNA+AirROI
2025-01-01,2025,1,39.62,38.0,3.0,32.0,77.0,77.0,18.85,99.0,18.85,105689.7,56384.0,60713.0,199972.0,199972.0,546.4285714285714,697.0,546.4285714285714,740104.3,199972.0,563840.0,1456501.0,1456501.0,10.5,14.0,1062.48,AirDNA+AirROI
2024-12-01,2024,12,100.0,8.0,7.000000000000001,7.000000000000001,10.0,10.0,9.0,92.0,9.0,95915.3,32871.0,58662.0,196213.0,196213.0,588.5555555555555,247.0,588.5555555555555,257234.7,65742.0,117323.0,588639.0,588639.0,6.24,9.0,1041.55,AirDNA+AirROI
2024-11-01,2024,11,0.0,28.000000000000004,10.0,27.0,73.0,73.0,9.0,40.0,9.0,40525.8,28299.0,51766.0,59359.0,59359.0,414.0,448.0,414.0,457021.8,84798.0,414130.0,1306480.0,1306480.0,9.58,11.0,1020.92,AirDNA+AirROI
2024-10-01,2024,10,8.16,19.0,7.000000000000001,16.0,26.0,48.0,28.0,42.0,28.0,42343.4,30057.0,44795.0,51388.0,61375.0,453.1,274.0,453.1,274117.7,102777.0,186162.0,254033.0,921113.0,3.43,11.0,1000.92,AirDNA+AirROI
2024-09-01,2024,9,29.03,18.0,13.0,17.0,30.0,40.0,22.89,42.0,22.89,41513.8,33173.0,44040.0,50903.0,55574.0,373.1666666666667,235.0,373.1666666666667,230565.5,165864.0,202087.0,366045.0,529050.0,2.24,12.0,981.27,AirDNA+AirROI
2024-08-01,2024,8,1.2,15.0,7.000000000000001,13.0,26.0,39.0,29.0,46.0,29.0,43804.3,34475.0,45749.0,55905.0,70161.0,273.1818181818182,194.0,273.1818181818182,186583.9,111811.0,210576.0,341022.0,366179.0,1.88,23.0,961.23,AirDNA+AirROI
2024-07-01,2024,7,56.03,24.0,10.0,23.0,36.0,45.0,27.98,68.0,27.98,63598.2,33343.0,34348.0,48690.0,186629.0,642.84,448.0,642.84,421491.0,146161.0,210106.0,378191.0,1306311.0,3.2,27.0,941.73,AirDNA+AirROI
2024-06-01,2024,6,56.94,23.0,13.0,17.0,40.0,56.99999999999999,18.89,52.0,18.89,47886.4,46479.0,53897.0,60959.0,62567.0,287.88,324.0,287.88,298759.5,189490.0,312837.0,410263.0,647126.0,8.41,27.0,922.38,AirDNA+AirROI
2024-05-01,2024,5,42.7,13.0,10.0,13.0,19.0,23.0,18.93,63.0,18.93,57167.1,33864.0,43639.0,62840.0,186339.0,330.1904761904762,215.0,330.1904761904762,194521.0,163210.0,174556.0,279290.0,372677.0,2.98,36.0,904.79,AirDNA+AirROI
2024-04-01,2024,4,12.61,17.0,13.0,13.0,20.0,30.0,18.53,94.0,18.53,83799.8,45499.0,67043.0,122538.0,173380.0,397.1818181818182,522.0,397.1818181818182,462748.9,141324.0,368820.0,490324.0,784174.0,4.59,36.0,887.08,AirDNA+AirROI
2024-03-01,2024,3,8.33,15.0,13.0,16.0,19.0,23.0,,85.0,85.0,74330.0,30310.0,45634.0,129155.0,178998.0,,469.0,469.0,408205.0,168390.0,182703.0,645775.0,1252820.0,4.0,25.0,869.55,AirDNA+AirROI
2024-02-01,2024,2,12.12,13.0,7.000000000000001,10.0,17.0,28.000000000000004,,84.0,84.0,71736.8,26624.0,32247.0,110218.0,173472.0,,346.0,346.0,295182.8,32247.0,213325.0,330737.0,867358.0,2.3,30.0,853.02,AirDNA+AirROI
2024-01-01,2024,1,8.25,16.0,7.000000000000001,19.0,23.0,26.0,,101.0,101.0,84899.2,41355.0,59843.0,115875.0,169312.0,,631.0,631.0,528370.2,76223.0,359220.0,810881.0,1354172.0,3.5,30.0,837.4,AirDNA+AirROI
2023-12-01,2023,12,7.87,11.0,7.000000000000001,10.0,26.0,26.0,,62.0,62.0,39558.0,22092.0,51066.0,75911.0,75911.0,,297.0,297.0,189777.0,27525.0,102132.0,607359.0,607359.0,2.3,30.0,638.97,AirDNA+AirROI
2023-11-01,2023,11,43.4,19.0,3.0,20.0,33.0,33.0,,123.0,123.0,43501.3,20648.0,36467.0,73389.0,73389.0,,779.0,779.0,275193.0,20648.0,364669.0,440262.0,440262.0,7.5,31.0,353.44,AirDNA+AirROI
2023-10-01,2023,10,39.36,15.0,10.0,10.0,16.0,32.0,,84.0,84.0,29568.5,16871.0,27064.0,36835.0,51456.0,,387.0,387.0,135552.0,41474.0,108254.0,152188.0,187687.0,3.3,31.0,350.0,AirDNA+AirROI
2023-09-01,2023,9,32.69,16.0,7.000000000000001,10.0,17.0,47.0,,66.0,66.0,23001.1,11072.0,17952.0,34752.0,39362.0,,707.0,707.0,247418.5,33180.0,112812.0,266838.0,1042552.0,1.0,39.0,350.01,AirDNA+AirROI
2023-08-01,2023,8,32.95,17.0,13.0,19.0,19.0,23.0,,51.0,51.0,16500.9,8562.0,12566.0,27812.0,28889.0,,940.0,940.0,302360.4,75399.0,169855.0,326728.0,883796.0,0.0,39.0,321.62,AirDNA+AirROI
2023-07-01,2023,7,62.94,39.0,7.000000000000001,28.999999999999996,65.0,97.0,,65.0,65.0,17358.4,8181.0,15131.0,25645.0,26133.0,,746.0,746.0,198321.0,51291.0,133100.0,187468.0,745514.0,0.0,40.0,265.98,AirDNA+AirROI
2023-06-01,2023,6,42.02,16.0,10.0,13.0,20.0,33.0,,56.0,56.0,13947.7,6797.0,8839.0,23899.0,42153.0,,350.0,350.0,86924.0,15132.0,79502.0,102080.0,252918.0,0.0,39.0,248.36,AirDNA+AirROI
2023-05-01,2023,5,61.47,20.0,10.0,19.0,26.0,28.999999999999996,,61.0,61.0,14117.9,6225.0,8893.0,19854.0,42043.0,,431.0,431.0,99538.3,24234.0,62252.0,134065.0,316375.0,0.0,39.0,231.09,AirDNA+AirROI
2023-04-01,2023,4,7.43,,,,,,,,,,,,,,,,,,,,,,,,215.79,AirDNA
2023-03-01,2023,3,27.68,,,,,,,,,,,,,,,,,,,,,,,,202.92,AirDNA
2023-02-01,2023,2,37.8,,,,,,,,,,,,,,,,,,,,,,,,191.97,AirDNA
2023-01-01,2023,1,56.92,,,,,,,,,,,,,,,,,,,,,,,,182.06,AirDNA
2022-12-01,2022,12,27.59,,,,,,,,,,,,,,,,,,,,,,,,172.42,AirDNA
2022-11-01,2022,11,16.0,,,,,,,,,,,,,,,,,,,,,,,,162.07,AirDNA
2022-10-01,2022,10,42.86,,,,,,,,,,,,,,,,,,,,,,,,152.05,AirDNA
2022-09-01,2022,9,44.62,,,,,,,,,,,,,,,,,,,,,,,,143.09,AirDNA
2022-08-01,2022,8,17.78,,,,,,,,,,,,,,,,,,,,,,,,135.29,AirDNA
2022-07-01,2022,7,43.44,,,,,,,,,,,,,,,,,,,,,,,,128.39,AirDNA
2022-06-01,2022,6,9.09,,,,,,,,,,,,,,,,,,,,,,,,122.66,AirDNA
2022-05-01,2022,5,20.0,,,,,,,,,,,,,,,,,,,,,,,,117.78,AirDNA
2022-04-01,2022,4,38.85,,,,,,,,,,,,,,,,,,,,,,,,113.19,AirDNA
2022-03-01,2022,3,49.37,,,,,,,,,,,,,,,,,,,,,,,,109.37,AirDNA
2022-02-01,2022,2,14.63,,,,,,,,,,,,,,,,,,,,,,,,106.38,AirDNA
2022-01-01,2022,1,27.21,,,,,,,,,,,,,,,,,,,,,,,,103.92,AirDNA
2021-12-01,2021,12,24.8,,,,,,,,,,,,,,,,,,,,,,,,101.88,AirDNA
2021-11-01,2021,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,100.33,AirDNA
2021-10-01,2021,10,46.15,,,,,,,,,,,,,,,,,,,,,,,,99.21,AirDNA
2021-09-01,2021,9,100.0,,,,,,,,,,,,,,,,,,,,,,,,98.26,AirDNA
2021-08-01,2021,8,35.23,,,,,,,,,,,,,,,,,,,,,,,,97.19,AirDNA
2021-07-01,2021,7,63.08,,,,,,,,,,,,,,,,,,,,,,,,96.21,AirDNA
2021-06-01,2021,6,100.0,,,,,,,,,,,,,,,,,,,,,,,,95.25,AirDNA
2021-05-01,2021,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,94.09,AirDNA
2021-04-01,2021,4,58.41,,,,,,,,,,,,,,,,,,,,,,,,92.73,AirDNA
